anio,semana_anio,semana_mes,sector,categoria_delito_adaptada,conteo,semana_0,semana_1,semana_2,semana_3,semana_4,semana_5,semana_6,semana_7,semana_8,semana_9
2019,1,1,Arenal,Robo a negocio,4.0,904463.0,1142841.0,1404539.0,1419155.0,1462472.0,1166264.0,268749.0,1348232.0,1450452.0,1418737.0
2019,1,1,Arenal,Robo a transeúnte,4.0,904463.0,1142841.0,1404539.0,1419155.0,1462472.0,1166264.0,268749.0,1348232.0,1450452.0,1418737.0
2019,1,1,Arenal,"Robo de vehículo, autopartes y en transporte individual",4.0,904463.0,1142841.0,1404539.0,1419155.0,1462472.0,1166264.0,268749.0,1348232.0,1450452.0,1418737.0
2019,1,1,Arenal,Robo en transporte público individual o colectivo,6.0,904463.0,1142841.0,1404539.0,1419155.0,1462472.0,1166264.0,268749.0,1348232.0,1450452.0,1418737.0
2019,1,1,Arenal,Robo simple,2.0,904463.0,1142841.0,1404539.0,1419155.0,1462472.0,1166264.0,268749.0,1348232.0,1450452.0,1418737.0
2019,1,1,Arenal,Homicidio,0.0,904463.0,1142841.0,1404539.0,1419155.0,1462472.0,1166264.0,268749.0,1348232.0,1450452.0,1418737.0
2019,1,1,Arenal,Lesiones,0.0,904463.0,1142841.0,1404539.0,1419155.0,1462472.0,1166264.0,268749.0,1348232.0,1450452.0,1418737.0
2019,1,1,Asturias,"Acoso, abuso, violación y otros delitos sexuales",4.0,1039978.0,868960.0,1331915.0,1485853.0,1523948.0,1251154.0,267286.0,1374671.0,1487297.0,1487753.0
2019,1,1,Asturias,Amenazas,7.0,1039978.0,868960.0,1331915.0,1485853.0,1523948.0,1251154.0,267286.0,1374671.0,1487297.0,1487753.0
2019,1,1,Asturias,Fraude,56.0,1039978.0,868960.0,1331915.0,1485853.0,1523948.0,1251154.0,267286.0,1374671.0,1487297.0,1487753.0
2019,1,1,Asturias,Robo a negocio,26.0,1039978.0,868960.0,1331915.0,1485853.0,1523948.0,1251154.0,267286.0,1374671.0,1487297.0,1487753.0
2019,1,1,Asturias,Robo a transeúnte,27.0,1039978.0,868960.0,1331915.0,1485853.0,1523948.0,1251154.0,267286.0,1374671.0,1487297.0,1487753.0
2019,1,1,Asturias,"Robo de vehículo, autopartes y en transporte individual",31.0,1039978.0,868960.0,1331915.0,1485853.0,1523948.0,1251154.0,267286.0,1374671.0,1487297.0,1487753.0
2019,1,1,Asturias,Robo en transporte público individual o colectivo,13.0,1039978.0,868960.0,1331915.0,1485853.0,1523948.0,1251154.0,267286.0,1374671.0,1487297.0,1487753.0
2019,1,1,Asturias,Robo simple,31.0,1039978.0,868960.0,1331915.0,1485853.0,1523948.0,1251154.0,267286.0,1374671.0,1487297.0,1487753.0
2019,1,1,Asturias,Homicidio,0.0,1039978.0,868960.0,1331915.0,1485853.0,1523948.0,1251154.0,267286.0,1374671.0,1487297.0,1487753.0
2019,1,1,Asturias,Lesiones,4.0,1039978.0,868960.0,1331915.0,1485853.0,1523948.0,1251154.0,267286.0,1374671.0,1487297.0,1487753.0
2019,1,1,Buenavista,"Acoso, abuso, violación y otros delitos sexuales",4.0,1211514.0,1184758.0,1588174.0,1579383.0,1578270.0,1200048.0,338250.0,1421176.0,1529405.0,1558804.0
2019,1,1,Buenavista,Amenazas,4.0,1211514.0,1184758.0,1588174.0,1579383.0,1578270.0,1200048.0,338250.0,1421176.0,1529405.0,1558804.0
2019,1,1,Buenavista,Fraude,6.0,1211514.0,1184758.0,1588174.0,1579383.0,1578270.0,1200048.0,338250.0,1421176.0,1529405.0,1558804.0
2019,1,1,Buenavista,Robo a negocio,11.0,1211514.0,1184758.0,1588174.0,1579383.0,1578270.0,1200048.0,338250.0,1421176.0,1529405.0,1558804.0
2019,1,1,Buenavista,Robo a transeúnte,22.0,1211514.0,1184758.0,1588174.0,1579383.0,1578270.0,1200048.0,338250.0,1421176.0,1529405.0,1558804.0
2019,1,1,Buenavista,"Robo de vehículo, autopartes y en transporte individual",10.0,1211514.0,1184758.0,1588174.0,1579383.0,1578270.0,1200048.0,338250.0,1421176.0,1529405.0,1558804.0
2019,1,1,Buenavista,Robo en transporte público individual o colectivo,22.0,1211514.0,1184758.0,1588174.0,1579383.0,1578270.0,1200048.0,338250.0,1421176.0,1529405.0,1558804.0
2019,1,1,Buenavista,Robo simple,10.0,1211514.0,1184758.0,1588174.0,1579383.0,1578270.0,1200048.0,338250.0,1421176.0,1529405.0,1558804.0
2019,1,1,Buenavista,Homicidio,0.0,1211514.0,1184758.0,1588174.0,1579383.0,1578270.0,1200048.0,338250.0,1421176.0,1529405.0,1558804.0
2019,1,1,Buenavista,Lesiones,2.0,1211514.0,1184758.0,1588174.0,1579383.0,1578270.0,1200048.0,338250.0,1421176.0,1529405.0,1558804.0
2019,1,1,Centro,"Acoso, abuso, violación y otros delitos sexuales",0.0,642662.0,797317.0,1067372.0,950932.0,887082.0,569816.0,249095.0,791868.0,775280.0,788427.0
2019,1,1,Centro,Amenazas,5.0,642662.0,797317.0,1067372.0,950932.0,887082.0,569816.0,249095.0,791868.0,775280.0,788427.0
2019,1,1,Centro,Fraude,17.0,642662.0,797317.0,1067372.0,950932.0,887082.0,569816.0,249095.0,791868.0,775280.0,788427.0
2019,1,1,Centro,Robo a negocio,7.0,642662.0,797317.0,1067372.0,950932.0,887082.0,569816.0,249095.0,791868.0,775280.0,788427.0
2019,1,1,Centro,Robo a transeúnte,25.0,642662.0,797317.0,1067372.0,950932.0,887082.0,569816.0,249095.0,791868.0,775280.0,788427.0
2019,1,1,Centro,"Robo de vehículo, autopartes y en transporte individual",2.0,642662.0,797317.0,1067372.0,950932.0,887082.0,569816.0,249095.0,791868.0,775280.0,788427.0
2019,1,1,Centro,Robo en transporte público individual o colectivo,12.0,642662.0,797317.0,1067372.0,950932.0,887082.0,569816.0,249095.0,791868.0,775280.0,788427.0
