group_dataset,categ_delito,percentil_50,minimo,maximo
3,Amenazas,14.0,0.0,132.0
3,Lesiones,8.0,0.0,72.0
3,Robo a negocio,12.0,0.0,161.0
3,Robo a transeúnte,18.0,0.0,207.0
3,"Robo de vehículo, autopartes y en transporte individual",24.0,0.0,158.0
3,Robo en transporte público individual o colectivo,8.0,0.0,155.0
3,Robo simple,14.0,0.0,165.0
3,"Acoso, abuso, violación y otros delitos sexuales",6.0,0.0,66.0
3,Fraude,14.0,0.0,197.0
3,Homicidio,2.0,0.0,31.0
