id_equip_urbano,id_espacio,ambito,condicion,geografico,tipo,nombre
6184,7519,Urbana,En Operación,Instalación Diversa,Museo,UNAM HOY
6185,4774,Urbana,En Operación,Instalación Diversa,Museo,José Luis Cuevas
6186,5248,Urbana,En Operación,Instalación Diversa,Museo,Manuel Tolsa
6187,7520,Urbana,En Operación,Instalación Diversa,Museo,Mexicano del Diseño
6188,5863,Urbana,En Operación,Instalación Diversa,Museo,Mural Diego Rivera
6189,5870,Urbana,En Operación,Instalación Diversa,Museo,Nacional de la Estampa
6190,5834,Urbana,En Operación,Instalación Diversa,Museo,Panteón San Fernando
6191,5249,Urbana,En Operación,Instalación Diversa,Museo,Palacio Postal
6192,2285,Urbana,En Operación,Instalación Diversa,Museo,Tequila y el Mezcal
6193,5250,Urbana,En Operación,Instalación Diversa,Museo,De la Tortura
6194,3351,Urbana,En Operación,Instalación Diversa,Museo,De las Constituciones UNAM
6195,5843,Urbana,En Operación,Instalación Diversa,Museo,Arte Moderno El Eco
6196,516,Urbana,En Operación,Instalación Diversa,Museo,Museo Nacional de la Revolución
6197,7521,Urbana,En Operación,Zona Arqueológica,Pirámide,Templo Mayor
6198,5844,Urbana,En Operación,Subestación Eléctrica,No Aplica,Cuauhtémoc
6199,5823,Urbana,En Operación,Subestación Eléctrica,No Aplica,Kilómetro Cero
6200,5824,Urbana,En Operación,Subestación Eléctrica,No Aplica,Zona Tacuba
6201,5871,Urbana,En Operación,Subestación Eléctrica,No Aplica,Pensador Mexicano
6202,7530,Urbana,En Operación,Subestación Eléctrica,No Aplica,Indianilla
6203,5857,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca de México José Vasconcelos
6204,8207,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca Pública Carlos Fuentes
6205,4783,Urbana,En Operación,Instalación Diversa,Edificación Cultural,"Biblioteca Pública ""Rubén Darío"""
6206,3729,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca Pública José Mancisidor
6207,5825,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca Vasconcelos
6208,3724,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca Pública Jesús Reyes Héroles
6209,5841,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca Miguel Lerdo de Tejada
6210,3376,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca Pública Amalia González
6211,472,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca Pública Parque San Simón
6212,5251,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca del H. Congreso de la Unión
6213,3357,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca Benjamín Franklin
6214,5773,Urbana,En Operación,Instalación Diversa,Edificación Cultural,Biblioteca Pública Valle Gómez
6215,7522,Urbana,En Operación,Zona Arqueológica,Pirámide,Ruinas-Catedral
6216,4784,Urbana,En Operación,Zona Arqueológica,Pirámide,Pirámide Ehécatl
6217,7503,Urbana,En Operación,Zona Arqueológica,Pirámide,Centro Cultural España - Antiguo Centro Ceremonial Mexica
6218,496,Urbana,En Operación,Escuela,Primaria,República de Honduras
6219,497,Urbana,En Operación,Escuela,Secundaria,Matilde Montoya Lafragua
6220,5813,Urbana,En Operación,Escuela,Secundaria,Instituto Isabel Grasseteau
6221,3327,Urbana,En Operación,Instalación Deportiva o Recreativa,Jardín,Jardín Selecciones
6222,5814,Urbana,En Operación,Escuela,Preescolar,Hispano Americano
6223,5368,Urbana,En Operación,Escuela,Medio Superior,Preperatoria Maestro Antonio Caso
6224,5369,Urbana,En Operación,Centro de Asistencia Médica,Hospital,Torre Médica de Especialidades
6225,3500,Urbana,En Operación,Escuela,Primaria,Colegio Amado Nervo
6226,5890,Urbana,En Operación,Escuela,Preescolar,Montessori de la Condesa
6227,3368,Urbana,En Operación,Escuela,Preescolar,Colegio Inglés María Estuardo
6228,3369,Urbana,En Operación,Escuela,Primaria,Francisco González Bocanegra
6229,5872,Urbana,En Operación,Centro de Asistencia Médica,Centro de Salud,Unidad Medicina Familiar 47
6230,3308,Urbana,En Operación,Escuela,Preescolar,Estancia para el bienestar y desarrollo infantil no. 12 ISSSTE
6231,3328,Urbana,En Operación,Escuela,Preescolar,Número 19 DIF
6232,3329,Urbana,En Operación,Templo,No Aplica,Iglesía de Jesucristo de los santos de los últimos días
6233,3322,Urbana,En Operación,Instalación Deportiva o Recreativa,Unidad Deportiva,Pentatlon
6234,3330,Urbana,En Operación,Escuela,Preescolar,Instituto Shakespeare
6235,520,Urbana,En Operación,Templo,No Aplica,Parroquia de Nuestra Señora del Sagrado Corazón
6236,7445,Urbana,En Operación,Instalación Diversa,Museo,MUBO Museo Interactivo de la Bolsa Mexicana de Valores
6237,7504,Urbana,En Operación,Escuela,Secundaria,Diurna 245 Angel Trias Alvárez
6238,4790,Urbana,En Operación,Instalación Deportiva o Recreativa,Unidad Deportiva,Kid Azteca
6239,3730,Urbana,En Operación,Templo,No Aplica,Beth-El
6240,5826,Urbana,En Operación,Escuela,Preescolar,Jose Ma. Covian Mimenza
6241,5827,Urbana,En Operación,Pozo,Agua,Pozo SACMEX
6242,5835,Urbana,En Operación,Escuela,Primaria,Estado de Veracruz
6243,3316,Urbana,En Operación,Escuela,Mixto,Jonh F. Kennedy
6244,3317,Urbana,En Operación,Escuela,Preescolar,Villa Educativa GreenHills
6245,3339,Urbana,En Operación,Escuela,Preescolar,Ma. de la Luz Rivera de Ysunza
6246,8027,Urbana,En Operación,Instalación Deportiva o Recreativa,Unidad Deportiva,Centro Deportivo Jose María Morelos y Pavón
6247,5845,Urbana,En Operación,Escuela,Preescolar,Guarderia 21 IMSS
6248,3354,Urbana,En Operación,Instalación Diversa,Teatro,Jorge Negrete
6249,5765,Urbana,En Operación,Escuela,Primaria,Lisandro Calderón
6250,3309,Urbana,En Operación,Escuela,Preescolar,Guardería 26 IMSS
6251,5782,Urbana,En Operación,Escuela,Mixto,Centro de Atención Múltiple 87 Educación Especial
6252,2962,Urbana,En Operación,Escuela,Superior,Universidad de Londres
6253,2963,Urbana,En Operación,Escuela,Superior,Escuela Comercial Cámara de Comercio
6254,3501,Urbana,En Operación,Centro de Asistencia Médica,Centro de Salud,Centro Medico Dalinde: Urgencias
6255,5802,Urbana,En Operación,Escuela,Preescolar,Cipactli
6256,5803,Urbana,En Operación,Escuela,Primaria,Andres Bello
6257,5804,Urbana,En Operación,Templo,No Aplica,Iglesia Evangélica Luterana San Pablo
6258,3331,Urbana,En Operación,Escuela,Medio Superior,Herman Hesse
6259,5805,Urbana,En Operación,Instalación Diversa,Edificación Cultural,"Casa de Cultura ""Santa María la Rivera"""
