cve_est,sistema,tipo,linea,nombre,longitud,latitud
MB0102,Metrobús,Transbordo,L1,Deportivo 18 de Marzo,-99.1245316987771,19.4862853792813
MB0103,Metrobús,Intermedia,L1,Euzkaro,-99.127632233877,19.4825191017247
MB0104,Metrobús,Intermedia,L1,Potrero,-99.1324682384368,19.4766384713324
MB0105,Metrobús,Transbordo,L1,La Raza,-99.1389866641443,19.468700050076
MB0106,Metrobús,Transbordo,L1,Circuito,-99.1440067682156,19.462612766654
MB0107,Metrobús,Intermedia,L1,San Simón,-99.1464243450732,19.4596325360148
MB0108,Metrobús,Intermedia,L1,Manuel González,-99.1493885158261,19.4567355629156
MB0109,Metrobús,Transbordo,L1,Buenavista,-99.1531306652581,19.4468379514912
MB0110,Metrobús,Intermedia,L1,El Chopo,-99.1544111338245,19.4433450825901
MB0111,Metrobús,Intermedia,L1,Revolución,-99.1554103798019,19.4403527880055
MB0112,Metrobús,Transbordo,L1,Plaza de la República,-99.157318741941,19.4360459666759
MB0113,Metrobús,Transbordo,L1,Reforma,-99.1587145097314,19.4328991003049
MB0114,Metrobús,Transbordo,L1,Hamburgo,-99.1612354179101,19.4275244084881
MB0115,Metrobús,Terminal,L1,Glorieta Insurgentes,-99.1628838165615,19.4237205292861
MB0116,Metrobús,Intermedia,L1,Durango,-99.164055629467,19.4199327519625
MB0117,Metrobús,Intermedia,L1,Álvaro Obregón,-99.1650558162938,19.416550991836
MB0118,Metrobús,Intermedia,L1,Sonora,-99.1661242193099,19.4132719254108
MB0119,Metrobús,Intermedia,L1,Campeche,-99.1672655931971,19.4097687538764
MB0120,Metrobús,Intermedia,L1,Chilpancingo,-99.1683048609954,19.4065788331177
MB0121,Metrobús,Transbordo,L1,Nuevo León,-99.1697838557312,19.4020431819716
MB0122,Metrobús,Transbordo,L1,La Piedad,-99.1711112024483,19.3979703378933
MB0123,Metrobús,Transbordo,L1,Polifórum,-99.1726250185952,19.3932992032696
MB0124,Metrobús,Transbordo,L1,Nápoles,-99.1737944114527,19.3896906524301
MB0125,Metrobús,Transbordo,L1,Colonia del Valle,-99.1750920704613,19.3856861026733
MB0126,Metrobús,Intermedia,L1,Ciudad de los Deportes,-99.1761401612828,19.3824515657724
MB0127,Metrobús,Intermedia,L1,Parque Hundido,-99.1770684026935,19.3795867868367
MB0128,Metrobús,Intermedia,L1,Félix Cuevas,-99.178796527601,19.3742530950736
MB0129,Metrobús,Intermedia,L1,Río Churubusco,-99.1805698110261,19.3687796513262
MB0130,Metrobús,Intermedia,L1,Teatro de los Insurgentes,-99.1818252002605,19.3649263909228
MB0131,Metrobús,Intermedia,L1,José María Velasco,-99.1828497749714,19.3617589894926
MB0132,Metrobús,Intermedia,L1,Francia,-99.1839115562651,19.3584764304419
MB0133,Metrobús,Intermedia,L1,Olivo,-99.1851566483434,19.354626982445
MB0134,Metrobús,Intermedia,L1,Altavista,-99.1863564020383,19.3509038493611
MB0135,Metrobús,Intermedia,L1,La Bombilla,-99.1877262179368,19.3468185138868
MB0136,Metrobús,Terminal,L1,Doctor Gálvez,-99.1900369636448,19.340707214064
MB0137,Metrobús,Intermedia,L1,Ciudad Universitaria,-99.1884729507772,19.3229473641776
MB0138,Metrobús,Intermedia,L1,Centro Cultural Universitario,-99.1875269526146,19.3151621669872
MB0139,Metrobús,Intermedia,L1,Perisur,-99.1861266974908,19.3041096320527
MB0140,Metrobús,Intermedia,L1,Villa Olímpica,-99.1855148121235,19.2990917643776
MB0141,Metrobús,Intermedia,L1,Corregidora,-99.1810317319288,19.2940700846785
MB0142,Metrobús,Intermedia,L1,Ayuntamiento,-99.1775366902643,19.2925954639789
MB0143,Metrobús,Intermedia,L1,Fuentes Brotantes,-99.1745975716401,19.2881035878447
MB0144,Metrobús,Intermedia,L1,Santa Úrsula,-99.1753010746286,19.2832627642404
MB0145,Metrobús,Intermedia,L1,La Joya,-99.1699925731304,19.2803221337428
MB0146,Metrobús,Terminal,L1,El Caminero,-99.1690776516879,19.2793137711004
MB0201,Metrobús,Terminal,L2,Tacubaya,-99.1870077632612,19.4019947604297
MB0202,Metrobús,Intermedia,L2,Parque Lira,-99.1891043635208,19.4077931728321
MB0203,Metrobús,Intermedia,L2,Antonio Maceo,-99.1859008657811,19.4048746245951
MB0204,Metrobús,Intermedia,L2,De la Salle,-99.1835088487392,19.4075895489105
MB0205,Metrobús,Intermedia,L2,Patriotismo,-99.1773714812033,19.4055667644885
MB0206,Metrobús,Intermedia,L2,Escandón,-99.1738288990292,19.4044098517607
MB0207,Metrobús,Transbordo,L2,Nuevo León,-99.1704079341159,19.4035006745954
MB0208,Metrobús,Intermedia,L2,Viaducto,-99.1680933404479,19.4013145434518
MB0209,Metrobús,Intermedia,L2,Amores,-99.1638157475972,19.3968783577925
MB0210,Metrobús,Terminal / Transbordo,L2,Etiopía,-99.1550015233374,19.395841134451
MB0211,Metrobús,Intermedia,L2,Doctor Vértiz,-99.151707679124,19.3956075599602
MB0212,Metrobús,Intermedia,L2,Centro SCOP,-99.1467556804401,19.3952480349727
MB0213,Metrobús,Intermedia,L2,Álamos,-99.1429427968514,19.3947530969448
MB0214,Metrobús,Intermedia,L2,Xola,-99.1402513707371,19.394365049136
MB0215,Metrobús,Intermedia,L2,Las Américas,-99.1343490840814,19.3934594546901
MB0216,Metrobús,Intermedia,L2,Andrés Molina,-99.1297001048689,19.3976774344177
MB0217,Metrobús,Intermedia,L2,La Viga,-99.1245623067857,19.3980646197956
MB0218,Metrobús,Intermedia,L2,Coyuya,-99.1167822550542,19.3982833853659
