cve_est,id_espacio,sistema,tipo,linea,anio_apertura,num_estacion,nombre,cantidad_transbordos_metro,cantidad_transbordos_metrobus
MB0102,1,Metrobús,Transbordo,L1,2005,2,Deportivo 18 de Marzo,2,2
MB0103,2,Metrobús,Intermedia,L1,2005,3,Euzkaro,0,0
MB0104,3,Metrobús,Intermedia,L1,2005,4,Potrero,1,0
MB0105,4,Metrobús,Transbordo,L1,2005,5,La Raza,2,1
MB0106,5,Metrobús,Transbordo,L1,2005,6,Circuito,0,0
MB0107,6,Metrobús,Intermedia,L1,2005,7,San Simón,0,0
MB0108,7,Metrobús,Intermedia,L1,2005,8,Manuel González,0,0
MB0109,8,Metrobús,Transbordo,L1,2005,9,Buenavista,1,2
MB0110,9,Metrobús,Intermedia,L1,2005,10,El Chopo,0,0
MB0111,10,Metrobús,Intermedia,L1,2005,11,Revolución,1,0
MB0112,11,Metrobús,Transbordo,L1,2005,12,Plaza de la República,0,0
MB0113,12,Metrobús,Transbordo,L1,2005,13,Reforma,0,0
MB0114,13,Metrobús,Transbordo,L1,2005,14,Hamburgo,0,0
MB0115,14,Metrobús,Terminal,L1,2005,15,Glorieta Insurgentes,1,0
MB0116,15,Metrobús,Intermedia,L1,2005,16,Durango,0,0
MB0117,16,Metrobús,Intermedia,L1,2005,17,Álvaro Obregón,0,0
MB0118,17,Metrobús,Intermedia,L1,2005,18,Sonora,0,0
MB0119,18,Metrobús,Intermedia,L1,2005,19,Campeche,0,0
MB0120,19,Metrobús,Intermedia,L1,2005,20,Chilpancingo,1,0
MB0121,20,Metrobús,Transbordo,L1,2005,21,Nuevo León,0,0
MB0122,21,Metrobús,Transbordo,L1,2005,22,La Piedad,0,0
MB0123,22,Metrobús,Transbordo,L1,2005,23,Polifórum,0,0
MB0124,23,Metrobús,Transbordo,L1,2005,24,Nápoles,0,0
MB0125,24,Metrobús,Transbordo,L1,2005,25,Colonia del Valle,0,0
MB0126,25,Metrobús,Intermedia,L1,2005,26,Ciudad de los Deportes,0,0
MB0127,26,Metrobús,Intermedia,L1,2005,27,Parque Hundido,0,0
