id_tiempo,anio,trimestre,mes,semana_mes,semana_anio,dia_semana,dia,hora,minuto
200509299999,2005,3,9,5,39,Jueves,29,99,99
200509309999,2005,3,9,5,39,Viernes,30,99,99
200510019999,2005,4,10,1,39,Sábado,1,99,99
200510029999,2005,4,10,1,39,Domingo,2,99,99
200510039999,2005,4,10,2,40,Lunes,3,99,99
200510049999,2005,4,10,2,40,Martes,4,99,99
200510059999,2005,4,10,2,40,Miércoles,5,99,99
200510069999,2005,4,10,2,40,Jueves,6,99,99
200510079999,2005,4,10,2,40,Viernes,7,99,99
200510089999,2005,4,10,2,40,Sábado,8,99,99
200510099999,2005,4,10,2,40,Domingo,9,99,99
200510109999,2005,4,10,3,41,Lunes,10,99,99
200510119999,2005,4,10,3,41,Martes,11,99,99
200510129999,2005,4,10,3,41,Miércoles,12,99,99
200510139999,2005,4,10,3,41,Jueves,13,99,99
200510149999,2005,4,10,3,41,Viernes,14,99,99
200510159999,2005,4,10,3,41,Sábado,15,99,99
200510169999,2005,4,10,3,41,Domingo,16,99,99
200510179999,2005,4,10,4,42,Lunes,17,99,99
200510189999,2005,4,10,4,42,Martes,18,99,99
200510199999,2005,4,10,4,42,Miércoles,19,99,99
200510209999,2005,4,10,4,42,Jueves,20,99,99
200510219999,2005,4,10,4,42,Viernes,21,99,99
200510229999,2005,4,10,4,42,Sábado,22,99,99
200510239999,2005,4,10,4,42,Domingo,23,99,99
200510249999,2005,4,10,5,43,Lunes,24,99,99
200510259999,2005,4,10,5,43,Martes,25,99,99
200510269999,2005,4,10,5,43,Miércoles,26,99,99
200510279999,2005,4,10,5,43,Jueves,27,99,99
200510289999,2005,4,10,5,43,Viernes,28,99,99
200510299999,2005,4,10,5,43,Sábado,29,99,99
200510309999,2005,4,10,5,43,Domingo,30,99,99
200510319999,2005,4,10,6,44,Lunes,31,99,99
200511019999,2005,4,11,1,44,Martes,1,99,99
200511029999,2005,4,11,1,44,Miércoles,2,99,99
200511039999,2005,4,11,1,44,Jueves,3,99,99
200511049999,2005,4,11,1,44,Viernes,4,99,99
200511059999,2005,4,11,1,44,Sábado,5,99,99
200511069999,2005,4,11,1,44,Domingo,6,99,99
200511079999,2005,4,11,2,45,Lunes,7,99,99
200511089999,2005,4,11,2,45,Martes,8,99,99
200511099999,2005,4,11,2,45,Miércoles,9,99,99
200511109999,2005,4,11,2,45,Jueves,10,99,99
200511119999,2005,4,11,2,45,Viernes,11,99,99
200511129999,2005,4,11,2,45,Sábado,12,99,99
200511139999,2005,4,11,2,45,Domingo,13,99,99
200511149999,2005,4,11,3,46,Lunes,14,99,99
200511159999,2005,4,11,3,46,Martes,15,99,99
200511169999,2005,4,11,3,46,Miércoles,16,99,99
200511179999,2005,4,11,3,46,Jueves,17,99,99
200511189999,2005,4,11,3,46,Viernes,18,99,99
200511199999,2005,4,11,3,46,Sábado,19,99,99
200511209999,2005,4,11,3,46,Domingo,20,99,99
200511219999,2005,4,11,4,47,Lunes,21,99,99
200511229999,2005,4,11,4,47,Martes,22,99,99
200511239999,2005,4,11,4,47,Miércoles,23,99,99
200511249999,2005,4,11,4,47,Jueves,24,99,99
200511259999,2005,4,11,4,47,Viernes,25,99,99
200511269999,2005,4,11,4,47,Sábado,26,99,99
200511279999,2005,4,11,4,47,Domingo,27,99,99
200511289999,2005,4,11,5,48,Lunes,28,99,99
200511299999,2005,4,11,5,48,Martes,29,99,99
200511309999,2005,4,11,5,48,Miércoles,30,99,99
200512019999,2005,4,12,1,48,Jueves,1,99,99
200512029999,2005,4,12,1,48,Viernes,2,99,99
200512039999,2005,4,12,1,48,Sábado,3,99,99
200512049999,2005,4,12,1,48,Domingo,4,99,99
200512059999,2005,4,12,2,49,Lunes,5,99,99
200512069999,2005,4,12,2,49,Martes,6,99,99
200512079999,2005,4,12,2,49,Miércoles,7,99,99
200512089999,2005,4,12,2,49,Jueves,8,99,99
200512099999,2005,4,12,2,49,Viernes,9,99,99
200512109999,2005,4,12,2,49,Sábado,10,99,99
200512119999,2005,4,12,2,49,Domingo,11,99,99
200512129999,2005,4,12,3,50,Lunes,12,99,99
